Date,Open,High,Low,Close,Volume
06/22/2017,70540001,70589996,69709999,70260002,22965700
06/23/2017,70089996,71250000,69919998,71209999,27617300
06/26/2017,71400002,71709999,70440002,70529999,19607000
06/27/2017,70110001,70180000,69180000,69209999,25215100
06/28/2017,69209999,69839996,68790001,69800003,25806200
06/29/2017,69379997,69489998,68089996,68489998,28918700
06/30/2017,68779999,69379997,68739998,68930000,24161100
07/03/2017,69330002,69599998,68019997,68169998,16165500
07/05/2017,68260002,69440002,68220001,69080002,21176300
07/06/2017,68269997,68779999,68120003,68570000,21117600
07/07/2017,68699997,69839996,68699997,69459999,16878300
07/10/2017,69459999,70250000,69199997,69980003,15014500
07/11/2017,70000000,70680000,69750000,69989998,17460000
07/12/2017,70690002,71279999,70550003,71150002,17750900
07/13/2017,71500000,72040001,71309998,71769997,20269800
07/14/2017,72239998,73269997,71959999,72779999,25868100
07/17/2017,72800003,73449997,72720001,73349998,21803900
07/18/2017,73089996,73389999,72660004,73300003,26435300
07/19/2017,73500000,74040001,73449997,73860001,22416200
07/20/2017,74180000,74300003,73279999,74220001,42361000
07/21/2017,73449997,74290001,73169998,73790001,46717100
07/24/2017,73529999,73750000,73129997,73599998,21394800
07/25/2017,73800003,74309998,73500000,74190002,22018700
07/26/2017,74339996,74379997,73809998,74050003,16252200
07/27/2017,73760002,74419998,72320000,73160004,36844200
07/28/2017,72669998,73309998,72540001,73040001,18306700
07/31/2017,73300003,73440002,72410004,72699997,23600100
08/01/2017,73099998,73419998,72489998,72580002,22132300
08/02/2017,72550003,72559998,71440002,72260002,26499200
08/03/2017,72190002,72440002,71849998,72150002,18214400
08/04/2017,72400002,73040001,72239998,72680000,22579000
08/07/2017,72800003,72900002,72260002,72400002,18705700
08/08/2017,72089996,73129997,71750000,72790001,22044600
08/09/2017,72250000,72510002,72050003,72470001,22213400
08/10/2017,71900002,72190002,71349998,71410004,24734500
08/11/2017,71610001,72699997,71279999,72500000,21443700
08/14/2017,73059998,73720001,72949997,73589996,20096600
08/15/2017,73589996,73589996,73040001,73220001,19181400
08/16/2017,73339996,74099998,73169998,73650002,18150400
08/17/2017,73580002,73870003,72400002,72400002,22977500
08/18/2017,72269997,72839996,71930000,72489998,18761500
08/21/2017,72470001,72480003,71699997,72150002,17734800
08/22/2017,72349998,73239998,72349998,73160004,14343700
08/23/2017,72959999,73150002,72529999,72720001,13766500
08/24/2017,72739998,72860001,72070000,72690002,17098300
08/25/2017,72860001,73349998,72480003,72820000,12794300
08/28/2017,73059998,73089996,72550003,72830002,14569700
08/29/2017,72250000,73160004,72050003,73050003,11478400
08/30/2017,73010002,74209999,72830002,74010002,16897800
08/31/2017,74029999,74959999,73800003,74769997,27652800
09/01/2017,74709999,74739998,73639999,73940002,21736200
09/05/2017,73339996,73889999,72980003,73610001,21556000
09/06/2017,73739998,74040001,73349998,73400002,16535800
09/07/2017,73680000,74599998,73599998,74339996,17471200
09/08/2017,74330002,74440002,73839996,73980003,14703800
09/11/2017,74309998,74940002,74309998,74760002,17910400
09/12/2017,74760002,75239998,74370003,74680000,14394900
09/13/2017,74930000,75230003,74550003,75209999,13380800
09/14/2017,75000000,75489998,74519997,74769997,15733900
09/15/2017,74830002,75389999,74070000,75309998,38578400
09/18/2017,75230003,75970001,75040001,75160004,23307000
09/19/2017,75209999,75709999,75010002,75440002,16093300
09/20/2017,75349998,75550003,74309998,74940002,21587900
09/21/2017,75110001,75239998,74110001,74209999,19186100
09/22/2017,73989998,74510002,73849998,74410004,14111400
09/25/2017,74089996,74250000,72919998,73260002,24149200
09/26/2017,73669998,73809998,72989998,73260002,18019600
09/27/2017,73550003,74169998,73169998,73849998,19565100
09/28/2017,73540001,73970001,73309998,73870003,10883800
09/29/2017,73940002,74540001,73879997,74489998,17079100
10/02/2017,74709999,75010002,74300003,74610001,15304800
10/03/2017,74669998,74879997,74190002,74260002,12190400
10/04/2017,74089996,74720001,73709999,74690002,13317700
10/05/2017,75220001,76120003,74959999,75970001,21195300
10/06/2017,75669998,76029999,75540001,76000000,13959800
10/09/2017,75970001,76550003,75860001,76290001,11386500
